Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7
1	'info', 'video3.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video3.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
2	'info', 'video2.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video2.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
3	'info', 'video1.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video1.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
4	'info', 'video5.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video5.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
5	'info', 'video4.avi' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video4.avi,0.000,0.000)	pic(bgframe,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
6	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR315S17CCL1288_111,0.000,0.000)	pic(squareR90S17CCL1288_111,0.000,0.000)	pic(squareR225S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
7	'info', 'video_allen_2.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_2.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
8	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR45S17CCL1288_111,0.000,0.000)	pic(squareR225S17GCL1288_111,0.000,0.000)	pic(squareR315S17GCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
9	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR135S17GCL1288_111,0.000,0.000)	pic(squareR0S17GCL1288_111,0.000,0.000)	pic(squareR270S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
10	'info', 'video_allen_4.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_4.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
11	'info', 'video_allen_3.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_3.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
12	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR45S17GCL1288_111,0.000,0.000)	pic(squareR180S17CCL1288_111,0.000,0.000)	pic(squareR135S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
13	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR270S17GCL1288_111,0.000,0.000)	pic(squareR180S17GCL1288_111,0.000,0.000)	pic(squareR0S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
14	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR315S17GCL1288_111,0.000,0.000)	pic(squareR90S17GCL1288_111,0.000,0.000)	pic(squareR225S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
15	'info', 'video_allen_1.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_1.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
16	'info', 'video_allen_4.mp4' 	1 	1 	fixationtask_video_sceneframework	pic(fixtarget,1.000,0.500)	fix(1.000,0.500)	sqr(0.200,[1.000 1.000 1.000 ],1.000,0.000,0.000)	mov(video_allen_4.mp4,0.000,0.000)	pic(bgframe_allen,0.000,0.000)	sqr(100.000,[0.000 0.000 0.000 ],1.000,0.000,0.000)	
17	'info', 'BO' 	1 	1 	BOSsquaretest_withinvideotask	pic(fixtarget,1.000,0.500)	pic(squareR270S17CCL1288_111,0.000,0.000)	pic(squareR0S17CCL1288_111,0.000,0.000)	pic(squareR315S17CCL1288_111,0.000,0.000)	pic(imbLintermed_111,0.000,0.000)	sqr(100.000,[0.502 0.502 0.502 ],1.000,0.000,0.000)	
